遊覽車,"1314元/1人
0-2歲免費"
旅平險,"0-2歲100元
3-12歲300元
13歲以上400元"
禾風新棧渡假飯店,"3900元/3天(0-2歲免費)單獨要一間房間的2600/1天 稻香雙人房
3800/1天 水漾四人房
6500/1天 米米親子房"
春耕源香草餐廳,"單點
招牌陶板鍋(豬、雞、素) 320元/人 附果汁、水果
迷迭香桶仔雞800元/隻（需預訂）
雞汁麵線 60元/份
0-2歲免費"
阿杜的店-龍田綠色隧道自行車導覽,"0-2歲免費
3歲以上400元/人"
飯店宴會廳,"7700/10人（含服務費）
0-2歲免費"
達魯瑪克部落一日深度部落體驗,"團體優惠：3480/人(30人)，2360(40人)
兒童價(4-12歲)：2200元/人（30人）、2100元/人（40人）
九人座接駁車：160/人/趟，220/人/來回"
江賢二藝術園區,"團體價 250元/人
未滿7歲之孩童免費
*免費入園須提前一天申請"
都蘭海角咖啡（600元/人） 或 達麓岸部落屋,"達麓岸部落屋：
11:00~13:00抵達，用餐時間不限
350元/人（可加訂烤乳豬或桶仔雞）
有素食，國小12歲以下不收費"
東河部落屋竹筏體驗,"每週日～一營業
8歲以下 150元
0-2歲免費"
部落晚宴,"每週日～一營業
6500/10人
0-2歲免費"
成功漁港賞鯨,"散客：850元/人（14人以上開船）
半票 5-12歲：650元/人， 4歲以下：300 元/人
包船32000元，最高46人
以上為早鳥價"
佳濱成功旗魚海鮮餐廳,"6000/10人（免服務費）
0-2歲免費"
,
高雄來回,"970元115公分以下免費(不佔位)
115-150公分享半票"
板橋來回,"1904元115公分以下免費(不佔位)
115-150公分享半票"
台中來回,"1904元115公分以下免費(不佔位)
115-150公分享半票"
